sid,gid,uid,roleid,rolename,isgm,caty,title,content,sendtime,optime,items,reason,op,game_id,ds
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,23526244,%255Bs6102%255Dpotscout,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E89,808395682,808395682,%7B%5B620005%5D%3D7500%2C%5B260007%5D%3D75%2C%5B%27diamond%27%5D%3D2250%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,110486135,%255Bs5985%255Droman,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E259,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,31976823,%255Bs6608%255DSolomon,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E89,808395682,808395682,%7B%5B620005%5D%3D7500%2C%5B260007%5D%3D75%2C%5B%27diamond%27%5D%3D2250%7D,jbkf_rankmail,1,182,20250813
1308040029,10,4C%3AD5%3A77%3AE2%3AC5%3AA5,16667127,%255Bs6950%255DKlinger82,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E90,808395682,808395682,%7B%5B620005%5D%3D7500%2C%5B260007%5D%3D75%2C%5B%27diamond%27%5D%3D2250%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,44966187,%255Bs6009%255DxxxVxxx,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E88,808395682,808395682,%7B%5B620005%5D%3D7500%2C%5B260007%5D%3D75%2C%5B%27diamond%27%5D%3D2250%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,4736950,%255Bs6770%255Dmeggg,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E107,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,99%3A8D%3A0D%3A1B%3A4B%3A70,109706048,%255Bs5981%255DALYSKA,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E262,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,121276054,%255Bs5889%255DArinka,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E238,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,121286054,%255Bs5889%255DKASPER7,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E273,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,02%3A50%3A93%3AEC%3ACA%3ABB,386943,%255Bs6794%255D%25E5%2587%25A1%25E9%2595%25BF%25E4%25B9%2587%25E4%25BB%258E%25E5%25B7%25A5,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E9,808395682,808395682,%7B%5B%27diamond%27%5D%3D2750%2C%5B620005%5D%3D8500%2C%5B260007%5D%3D125%2C%5B40782%5D%3D50%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,666941,%255Bs6785%255DTheVolk,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E104,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
1308040029,10,00%3A00%3A00%3A00%3A00%3A00,156046,%255Bs5905%255DPRIZRAK,0,xitong,%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D,%40%40%E7%BB%93%E6%8B%9C%E8%B7%A8%E6%9C%8D%E6%88%98%E8%B5%9B%E5%AD%A3%E6%8E%92%E5%90%8D%E7%AC%AC%25s%EF%BC%8C%E8%8E%B7%E5%BE%97%E4%BB%A5%E4%B8%8B%E5%A5%96%E5%8A%B1%5E%5E246,808395682,808395682,%7B%5B620005%5D%3D7000%2C%5B260007%5D%3D50%2C%5B%27diamond%27%5D%3D2000%7D,jbkf_rankmail,1,182,20250813
